company_name,revenue,revenueStatus
BORG.AI,10 billion,Found
Portal Telemedicina,6.2 million,Found
Reachx.co,1.7 million,Found
RAFA Racing,240.7 million,Found
Nolocode,22.2 million,Found
staaake,145 billion,Found
Pendo,200 million,Found
DigitalTwin Technology GmbH,24.97 billion,Found
Superhuman,825 million,Found
HV Capital,250 million,Found
Go Genie,Error,Failed
Kore.ai,525.8 million,Found
The News Movement,25 million,Found
Superblocks,6 million,Found
AitekLabs,10.7 million,Found
BAM Corner Point,350 million,Found
adeer,121.04 million,Found
Travel Wise,2.33 billion,Found
Clue,22.8 million,Found
ITDS PORTUGAL,Not Found,Failed
Petzai,271.4 million,Found
Archreall,17.44 billion,Found
Robin Hood,Error,Failed
KeyBeyond,10.397 billion,Found
Workerbee,21.4 million,Found
NTT,30.616 billion,Found
START Campus,947 million,Found
MSquared,3 billion,Found
Animoca Brands,314 million,Found
Boston Dynamics,27.6 million,Found
Digital Samba,21 million,Found
VeriCasa,275.63 million,Found
270 Degrees,1 million,Found
EARTH AI,8 million,Found
Bluesky,700 million,Found
InChorus Group,Not Found,Failed
Redis,84.0 million,Found
Djassi Africa,Not Found,Failed
Alea Capital Partners,Not Found,Failed
adidas,23.68 billion,Found
Webandman OÜ,Not Found,Failed
Cocentrix,28.9 million,Found
Do Your Order,680.985 billion,Found
CEE Attorneys,24.8 million,Found
Divergent,2.3 billion,Found
Wolff Olins,66.3 million,Found
Internet Society,220.4 million,Found
Nordic Angels,Not Found,Failed
Acumino,8.3 million,Found
Octodet,1.14 million,Found
Fay,8.5 million,Found
Lattice,0.509 billion,Found
Synopsys Inc,Error,Failed
Metafuels,2.61 billion,Found
Lighthouse,1.46 billion,Found
Absci,3.48 million,Found
Catena Labs & Circle,Error,Failed
Lufthansa Group Digital Hangar,33.9 million,Found
GetVocal AI,2.82 million,Found
OpStudio,10 million,Found
Nveil,25.87 million,Found
My Startup Studio,109.2 million,Found
Amogy,310 million,Found
PT Ventures,3.1 billion,Found
SkysMyth,1 billion,Found
SecretHero,Not Found,Failed
Terra Security,38 million,Found
Ultraviolet,8.41 billion,Found
Jylo,Not Found,Failed
Orchestro.ai,19.5 million,Found
